Signal processing in this application is built on
DSP Engine ver. 0.20.036 2005-2023 Marek Blok

Info(DSP::u::SocketInput::OutputExecute): THIS->ReadConnectionData
Info(MAIN): 1 (1024)
Info(MAIN): 2 (1024)
Info(MAIN): 3 (1024)
Info(MAIN): 4 (1024)
Info(MAIN): 5 (1024)
Info(MAIN): 6 (1024)
Info(MAIN): 7 (1024)
Info(MAIN): 8 (1024)
Info(MAIN): 9 (1024)
Info(MAIN): 10 (1024)
Info(MAIN): 11 (1024)
Info(MAIN): 12 (1024)
Info(MAIN): 13 (1024)
Info(MAIN): 14 (1024)
Info(MAIN): 15 (1024)
Info(MAIN): 16 (1024)
Info(MAIN): 17 (1024)
Info(MAIN): 18 (1024)
Info(MAIN): 19 (1024)
Info(MAIN): 20 (1024)
Info(MAIN): 21 (1024)
Info(MAIN): 22 (1024)
Info(MAIN): 23 (1024)
Info(MAIN): 24 (1024)
Info(MAIN): 25 (1024)
Info(MAIN): 26 (1024)
Info(MAIN): 27 (1024)
Info(MAIN): 28 (1024)
Info(MAIN): 29 (1024)
Info(MAIN): 30 (1024)
Info(MAIN): 31 (1024)
Info(MAIN): 32 (1024)
Info(MAIN): 33 (1024)
Info(MAIN): 34 (1024)
Info(MAIN): 35 (1024)
Info(MAIN): 36 (1024)
Info(MAIN): 37 (1024)
Info(MAIN): 38 (1024)
Info(MAIN): 39 (1024)
Info(MAIN): 40 (1024)
Info(MAIN): 41 (1024)
Info(MAIN): 42 (1024)
Info(MAIN): 43 (1024)
Info(MAIN): 44 (1024)
Info(MAIN): 45 (1024)
Info(MAIN): 46 (1024)
Info(MAIN): 47 (1024)
Info(MAIN): 48 (1024)
Info(MAIN): 49 (1024)
Info(MAIN): 50 (1024)
Info(MAIN): 51 (1024)
Info(MAIN): 52 (1024)
Info(MAIN): 53 (1024)
Info(MAIN): 54 (1024)
Info(MAIN): 55 (1024)
Info(MAIN): 56 (1024)
Info(MAIN): 57 (1024)
Info(MAIN): 58 (1024)
Info(MAIN): 59 (1024)
Info(MAIN): 60 (1024)
Info(MAIN): 61 (1024)
Info(MAIN): 62 (1024)
Info(MAIN): 63 (1024)
Info(MAIN): 64 (1024)
Info(MAIN): 65 (1024)
Info(MAIN): 66 (1024)
Info(DSP::u::SocketInput::OutputExecute): connection has been closed
Info(MAIN): 67 (0)
